protein_id,locus_tag
ARI79686.1,BH695_0405
ARI79687.1,BH695_0406
ARI79688.1,BH695_0407
ARI79689.1,BH695_0408
ARI79690.1,BH695_0409
ARI79691.1,BH695_0410
ARI79692.1,BH695_0411
ARI79693.1,BH695_0412
ARI79694.1,BH695_0413
ARI79695.1,BH695_0414
ARI79696.1,BH695_0415
ARI79697.1,BH695_0416
ARI79698.1,BH695_0417
ARI79699.1,BH695_0418
ARI79700.1,BH695_0419
ARI79701.1,BH695_0420
ARI79702.1,BH695_0421
ARI79703.1,BH695_0422
ARI79704.1,BH695_0423
ARI79705.1,BH695_0424
ARI79706.1,BH695_0425
ARI79707.1,BH695_0426
ARI79708.1,BH695_0427
ARI79709.1,BH695_0428
ARI79710.1,BH695_0429
ARI79711.1,BH695_0430
ARI79712.1,BH695_0431
ARI79713.1,BH695_0432
ARI79714.1,BH695_0433
ARI79715.1,BH695_0434
ARI79716.1,BH695_0435
ARI79717.1,BH695_0436
ARI79718.1,BH695_0437
ARI79719.1,BH695_0438
ARI79720.1,BH695_0439
ARI79721.1,BH695_0440
ARI79722.1,BH695_0441
ARI79723.1,BH695_0442
ARI79724.1,BH695_0443
ARI79725.1,BH695_0444
ARI79726.1,BH695_0445
ARI79727.1,BH695_0446
ARI79728.1,BH695_0447
ARI79729.1,BH695_0448
ARI79730.1,BH695_0449
ARI79731.1,BH695_0450
ARI79732.1,BH695_0451
ARI79733.1,BH695_0452
ARI79734.1,BH695_0453
ARI79735.1,BH695_0454
ARI79736.1,BH695_0455
ARI79737.1,BH695_0456
ARI79738.1,BH695_0457
ARI79739.1,BH695_0458
ARI79740.1,BH695_0459
ARI79741.1,BH695_0460
ARI79742.1,BH695_0461
ARI79743.1,BH695_0462
ARI79744.1,BH695_0463
ARI79745.1,BH695_0464
ARI79746.1,BH695_0465
ARI79747.1,BH695_0466
ARI79748.1,BH695_0467
ARI79749.1,BH695_0468
ARI79750.1,BH695_0469
ARI79751.1,BH695_0470
ARI79752.1,BH695_0471
ARI79753.1,BH695_0472
ARI79754.1,BH695_0473
ARI79755.1,BH695_0474
ARI79756.1,BH695_0475
ARI79757.1,BH695_0476
ARI79758.1,BH695_0477
ARI79759.1,BH695_0478
ARI79760.1,BH695_0479
ARI79761.1,BH695_0480
ARI79762.1,BH695_0481
ARI79763.1,BH695_0482
ARI79764.1,BH695_0483
ARI79765.1,BH695_0484
ARI79766.1,BH695_0485
ARI79767.1,BH695_0486
ARI79768.1,BH695_0487
ARI79769.1,BH695_0488
ARI79770.1,BH695_0489
ARI79771.1,BH695_0490
ARI79772.1,BH695_0491
ARI79773.1,BH695_0492
ARI79774.1,BH695_0493
ARI79775.1,BH695_0494
ARI79776.1,BH695_0495
ARI79777.1,BH695_0496
ARI79778.1,BH695_0497
ARI79779.1,BH695_0498
ARI79780.1,BH695_0499
ARI79781.1,BH695_0500
ARI79782.1,BH695_0501
ARI79783.1,BH695_0502
ARI79784.1,BH695_0503
ARI79785.1,BH695_0504
ARI79786.1,BH695_0505
ARI79787.1,BH695_0506
ARI79788.1,BH695_0507
ARI79789.1,BH695_0508
ARI79790.1,BH695_0509
ARI79791.1,BH695_0510
ARI79792.1,BH695_0511
ARI79793.1,BH695_0512
ARI79794.1,BH695_0513
ARI79795.1,BH695_0514
ARI79796.1,BH695_0515
ARI79797.1,BH695_0516
ARI79798.1,BH695_0517
ARI79799.1,BH695_0518
ARI79800.1,BH695_0519
ARI79801.1,BH695_0520
ARI79802.1,BH695_0521
ARI79803.1,BH695_0522
ARI79804.1,BH695_0523
ARI79805.1,BH695_0524
ARI79806.1,BH695_0525
ARI79807.1,BH695_0526
ARI79808.1,BH695_0527
ARI79809.1,BH695_0528
ARI79810.1,BH695_0529
ARI79811.1,BH695_0530
ARI79812.1,BH695_0531
ARI79813.1,BH695_0532
ARI79814.1,BH695_0533
ARI79815.1,BH695_0534
ARI79816.1,BH695_0535
ARI79817.1,BH695_0536
ARI79818.1,BH695_0537
ARI79819.1,BH695_0538
ARI79820.1,BH695_0539
ARI79821.1,BH695_0540
ARI79822.1,BH695_0541
ARI79823.1,BH695_0542
ARI79824.1,BH695_0543
ARI79825.1,BH695_0544
ARI79826.1,BH695_0545
ARI79827.1,BH695_0546
ARI79828.1,BH695_0547
ARI79829.1,BH695_0548
ARI79830.1,BH695_0549
ARI79831.1,BH695_0550
ARI79832.1,BH695_0551
ARI79833.1,BH695_0552
ARI79834.1,BH695_0553
ARI79835.1,BH695_0554
ARI79836.1,BH695_0555
ARI79837.1,BH695_0556
ARI79838.1,BH695_0557
ARI79839.1,BH695_0558
ARI79840.1,BH695_0559
ARI79841.1,BH695_0560
ARI79842.1,BH695_0561
ARI79843.1,BH695_0562
ARI79844.1,BH695_0563
ARI79845.1,BH695_0564
ARI79846.1,BH695_0565
ARI79847.1,BH695_0566
ARI79848.1,BH695_0567
ARI79849.1,BH695_0568
ARI79850.1,BH695_0569
ARI79851.1,BH695_0570
ARI79852.1,BH695_0571
ARI79853.1,BH695_0572
ARI79854.1,BH695_0573
ARI79855.1,BH695_0574
ARI79856.1,BH695_0575
ARI79857.1,BH695_0576
ARI79858.1,BH695_0577
ARI79859.1,BH695_0578
ARI79860.1,BH695_0579
ARI79861.1,BH695_0580
ARI79862.1,BH695_0581
ARI79863.1,BH695_0582
ARI79864.1,BH695_0583
ARI79865.1,BH695_0584
ARI79866.1,BH695_0585
ARI79867.1,BH695_0586
ARI79868.1,BH695_0587
ARI79869.1,BH695_0588
ARI79870.1,BH695_0589
ARI79871.1,BH695_0590
ARI79872.1,BH695_0591
ARI79873.1,BH695_0592
ARI79874.1,BH695_0593
ARI79875.1,BH695_0594
ARI79876.1,BH695_0595
ARI79877.1,BH695_0596
ARI79878.1,BH695_0597
ARI79879.1,BH695_0598
ARI79880.1,BH695_0599
ARI79881.1,BH695_0600
ARI79882.1,BH695_0601
ARI79883.1,BH695_0602
ARI79884.1,BH695_0603
ARI79885.1,BH695_0604
ARI79886.1,BH695_0605
ARI79887.1,BH695_0606
ARI79888.1,BH695_0607
ARI79889.1,BH695_0608
ARI79890.1,BH695_0609
ARI79891.1,BH695_0610
ARI79892.1,BH695_0611
ARI79893.1,BH695_0612
ARI79894.1,BH695_0613
ARI79895.1,BH695_0614
ARI79896.1,BH695_0615
ARI79897.1,BH695_0616
ARI79898.1,BH695_0617
ARI79899.1,BH695_0618
ARI79900.1,BH695_0619
ARI79901.1,BH695_0620
ARI79902.1,BH695_0621
ARI79903.1,BH695_0622
ARI79904.1,BH695_0623
ARI79905.1,BH695_0624
ARI79906.1,BH695_0625
ARI79907.1,BH695_0626
ARI79908.1,BH695_0627
ARI79909.1,BH695_0628
ARI79910.1,BH695_0629
ARI79911.1,BH695_0630
ARI79912.1,BH695_0631
ARI79913.1,BH695_0632
ARI79914.1,BH695_0633
ARI79915.1,BH695_0634
ARI79916.1,BH695_0635
ARI79917.1,BH695_0636
ARI79918.1,BH695_0637
ARI79919.1,BH695_0638
ARI79920.1,BH695_0639
ARI79921.1,BH695_0640
ARI79922.1,BH695_0641
ARI79923.1,BH695_0642
ARI79924.1,BH695_0643
ARI79925.1,BH695_0644
ARI79926.1,BH695_0645
ARI79927.1,BH695_0646
ARI79928.1,BH695_0647
ARI79929.1,BH695_0648
ARI79930.1,BH695_0649
ARI79931.1,BH695_0650
ARI79932.1,BH695_0651
ARI79933.1,BH695_0652
ARI79934.1,BH695_0653
ARI79935.1,BH695_0654
ARI79936.1,BH695_0655
ARI79937.1,BH695_0656
ARI79938.1,BH695_0657
ARI79939.1,BH695_0658
ARI79940.1,BH695_0659
ARI79941.1,BH695_0660
ARI79942.1,BH695_0661
ARI79943.1,BH695_0662
ARI79944.1,BH695_0663
ARI79945.1,BH695_0664
ARI79946.1,BH695_0665
ARI79947.1,BH695_0666
ARI79948.1,BH695_0667
ARI79949.1,BH695_0668
ARI79950.1,BH695_0669
ARI79951.1,BH695_0670
ARI79952.1,BH695_0671
ARI79953.1,BH695_0672
ARI79954.1,BH695_0673
ARI79955.1,BH695_0674
ARI79956.1,BH695_0675
ARI79957.1,BH695_0676
ARI79958.1,BH695_0677
ARI79959.1,BH695_0678
ARI79960.1,BH695_0679
ARI79961.1,BH695_0680
ARI79962.1,BH695_0681
ARI79963.1,BH695_0682
ARI79964.1,BH695_0683
ARI79965.1,BH695_0684
ARI79966.1,BH695_0685
ARI79967.1,BH695_0686
ARI79968.1,BH695_0687
ARI79969.1,BH695_0688
ARI79970.1,BH695_0689
ARI79971.1,BH695_0690
ARI79972.1,BH695_0691
ARI79973.1,BH695_0692
ARI79974.1,BH695_0693
ARI79975.1,BH695_0694
ARI79976.1,BH695_0695
ARI79977.1,BH695_0696
ARI79978.1,BH695_0697
ARI79979.1,BH695_0698
ARI79980.1,BH695_0699
ARI79981.1,BH695_0700
ARI79982.1,BH695_0701
ARI79983.1,BH695_0702
ARI79984.1,BH695_0703
ARI79985.1,BH695_0704
ARI79986.1,BH695_0705
ARI79987.1,BH695_0706
ARI79988.1,BH695_0707
ARI79989.1,BH695_0708
ARI79990.1,BH695_0709
ARI79991.1,BH695_0710
ARI79992.1,BH695_0711
ARI79993.1,BH695_0712
ARI79994.1,BH695_0713
ARI79995.1,BH695_0714
ARI79996.1,BH695_0715
ARI79997.1,BH695_0716
ARI79998.1,BH695_0717
ARI79999.1,BH695_0718
ARI80000.1,BH695_0719
ARI80001.1,BH695_0720
ARI80002.1,BH695_0721
ARI80003.1,BH695_0722
ARI80004.1,BH695_0723
ARI80005.1,BH695_0724
ARI80006.1,BH695_0725
ARI80007.1,BH695_0726
ARI80008.1,BH695_0727
ARI80009.1,BH695_0728
ARI80010.1,BH695_0729
ARI80011.1,BH695_0730
ARI80012.1,BH695_0731
ARI80013.1,BH695_0732
ARI80014.1,BH695_0733
ARI80015.1,BH695_0734
ARI80016.1,BH695_0735
ARI80017.1,BH695_0736
ARI80018.1,BH695_0737
ARI80019.1,BH695_0738
ARI80020.1,BH695_0739
ARI80021.1,BH695_0740
ARI80022.1,BH695_0741
ARI80023.1,BH695_0742
ARI80024.1,BH695_0743
ARI80025.1,BH695_0744
ARI80026.1,BH695_0745
ARI80027.1,BH695_0746
ARI80028.1,BH695_0747
ARI80029.1,BH695_0748
ARI80030.1,BH695_0749
ARI80031.1,BH695_0750
ARI80032.1,BH695_0751
ARI80033.1,BH695_0752
ARI80034.1,BH695_0753
ARI80035.1,BH695_0754
ARI80036.1,BH695_0755
ARI80037.1,BH695_0756
ARI80038.1,BH695_0757
ARI80039.1,BH695_0758
ARI80040.1,BH695_0759
ARI80041.1,BH695_0760
ARI80042.1,BH695_0761
ARI80043.1,BH695_0762
ARI80044.1,BH695_0763
ARI80045.1,BH695_0764
ARI80046.1,BH695_0765
ARI80047.1,BH695_0766
ARI80048.1,BH695_0767
ARI80049.1,BH695_0768
ARI80050.1,BH695_0769
ARI80051.1,BH695_0770
ARI80052.1,BH695_0771
ARI80053.1,BH695_0772
ARI80054.1,BH695_0773
ARI80055.1,BH695_0774
ARI80056.1,BH695_0775
ARI80057.1,BH695_0776
ARI80058.1,BH695_0777
ARI80059.1,BH695_0778
ARI80060.1,BH695_0779
ARI80061.1,BH695_0780
ARI80062.1,BH695_0781
ARI80063.1,BH695_0782
ARI80064.1,BH695_0783
ARI80065.1,BH695_0784
ARI80066.1,BH695_0785
ARI80067.1,BH695_0786
ARI80068.1,BH695_0787
ARI80069.1,BH695_0788
ARI80070.1,BH695_0789
ARI80071.1,BH695_0790
ARI80072.1,BH695_0791
ARI80073.1,BH695_0792
ARI80074.1,BH695_0793
ARI80075.1,BH695_0794
ARI80076.1,BH695_0795
ARI80077.1,BH695_0796
ARI80078.1,BH695_0797
ARI80079.1,BH695_0798
ARI80080.1,BH695_0799
ARI80081.1,BH695_0800
ARI80082.1,BH695_0801
ARI80083.1,BH695_0802
ARI80084.1,BH695_0803
ARI80085.1,BH695_0804
ARI80086.1,BH695_0805
ARI80087.1,BH695_0806
ARI80088.1,BH695_0807
ARI80089.1,BH695_0808
ARI80090.1,BH695_0809
ARI80091.1,BH695_0810
ARI80092.1,BH695_0811
ARI80093.1,BH695_0812
ARI80094.1,BH695_0813
ARI80095.1,BH695_0814
ARI80096.1,BH695_0815
ARI80097.1,BH695_0816
ARI80098.1,BH695_0817
ARI80099.1,BH695_0818
ARI80100.1,BH695_0819
ARI80101.1,BH695_0820
ARI80102.1,BH695_0821
ARI80103.1,BH695_0822
ARI80104.1,BH695_0823
ARI80105.1,BH695_0824
ARI80106.1,BH695_0825
ARI80107.1,BH695_0826
ARI80108.1,BH695_0827
ARI80109.1,BH695_0828
ARI80110.1,BH695_0829
ARI80111.1,BH695_0830
ARI80112.1,BH695_0831
ARI80113.1,BH695_0832
ARI80114.1,BH695_0833
ARI80115.1,BH695_0834
ARI80116.1,BH695_0835
ARI80117.1,BH695_0836
ARI80118.1,BH695_0837
ARI80119.1,BH695_0838
ARI80120.1,BH695_0839
ARI80121.1,BH695_0840
ARI80122.1,BH695_0841
ARI80123.1,BH695_0842
ARI80124.1,BH695_0843
ARI80125.1,BH695_0844
ARI80126.1,BH695_0845
ARI80127.1,BH695_0846
ARI80128.1,BH695_0847
ARI80129.1,BH695_0848
ARI80130.1,BH695_0849
ARI80131.1,BH695_0850
ARI80132.1,BH695_0851
ARI80133.1,BH695_0852
ARI80134.1,BH695_0853
ARI80135.1,BH695_0854
ARI80136.1,BH695_0855
ARI80137.1,BH695_0856
ARI80138.1,BH695_0857
ARI80139.1,BH695_0858
ARI80140.1,BH695_0859
ARI80141.1,BH695_0860
ARI80142.1,BH695_0861
ARI80143.1,BH695_0862
ARI80144.1,BH695_0863
ARI80145.1,BH695_0864
ARI80146.1,BH695_0865
ARI80147.1,BH695_0866
ARI80148.1,BH695_0867
ARI80149.1,BH695_0868
ARI80150.1,BH695_0869
ARI80151.1,BH695_0870
ARI80152.1,BH695_0871
ARI80153.1,BH695_0872
ARI80154.1,BH695_0873
ARI80155.1,BH695_0874
ARI80156.1,BH695_0875
ARI80157.1,BH695_0876
ARI80158.1,BH695_0877
ARI80159.1,BH695_0878
ARI80160.1,BH695_0879
ARI80161.1,BH695_0880
ARI80162.1,BH695_0881
ARI80163.1,BH695_0882
ARI80164.1,BH695_0883
ARI80165.1,BH695_0884
ARI80166.1,BH695_0885
ARI80167.1,BH695_0886
ARI80168.1,BH695_0887
ARI80169.1,BH695_0888
ARI80170.1,BH695_0889
ARI80171.1,BH695_0890
ARI80172.1,BH695_0891
ARI80173.1,BH695_0892
ARI80174.1,BH695_0893
ARI80175.1,BH695_0894
ARI80176.1,BH695_0895
ARI80177.1,BH695_0896
ARI80178.1,BH695_0897
ARI80179.1,BH695_0898
ARI80180.1,BH695_0899
ARI80181.1,BH695_0900
ARI80182.1,BH695_0901
ARI80183.1,BH695_0902
ARI80184.1,BH695_0903
ARI80185.1,BH695_0904
ARI80186.1,BH695_0905
ARI80187.1,BH695_0906
ARI80188.1,BH695_0907
ARI80189.1,BH695_0908
ARI80190.1,BH695_0909
ARI80191.1,BH695_0910
ARI80192.1,BH695_0911
ARI80193.1,BH695_0912
ARI80194.1,BH695_0913
ARI80195.1,BH695_0914
ARI80196.1,BH695_0915
ARI80197.1,BH695_0916
ARI80198.1,BH695_0917
ARI80199.1,BH695_0918
ARI80200.1,BH695_0919
ARI80201.1,BH695_0920
ARI80202.1,BH695_0921
ARI80203.1,BH695_0922
ARI80204.1,BH695_0923
ARI80205.1,BH695_0924
ARI80206.1,BH695_0925
ARI80207.1,BH695_0926
ARI80208.1,BH695_0927
ARI80209.1,BH695_0928
ARI80210.1,BH695_0929
ARI80211.1,BH695_0930
ARI80212.1,BH695_0931
ARI80213.1,BH695_0932
ARI80214.1,BH695_0933
ARI80215.1,BH695_0934
ARI80216.1,BH695_0935
ARI80217.1,BH695_0936
ARI80218.1,BH695_0937
ARI80219.1,BH695_0938
ARI80220.1,BH695_0939
ARI80221.1,BH695_0940
ARI80222.1,BH695_0941
